N,Z,A,mass_xx_kev,mass_xx_uncert,bea_kev,A,atom_mass_muu,atom_mass_uncert
1,0,1,8071.3181,0.0004,0.0,1,008664.9159,0.0005
0,1,1,7288.97106,0.00001,0.0,1,007825.03190,0.00001
1,1,2,13135.72290,0.00002,1112.283,2,014101.77784,0.00002
2,1,3,14949.81090,0.00008,2827.265,3,016049.28132,0.00008
1,2,3,14931.21888,0.00006,2572.680,3,016029.32197,0.00006
0,3,3,28670#,2000#,-2270#,3,030780#,2150#
3,1,4,24620,100,1720,4,026430,110
2,2,4,2424.91587,0.00015,7073.916,4,002603.25413,0.00016
1,3,4,25320,210,1150,4,027190,230
4,1,5,32890,90,1336,5,035310,100
3,2,5,11231,20,5512,5,012057,21
2,3,5,11680,50,5266,5,012540,50
1,4,5,37140#,2000#,20#,5,039870#,2150#
5,1,6,41880,250,960,6,044960,270
4,2,6,17592.10,0.05,4878.520,6,018885.89,0.06
3,3,6,14086.8804,0.0014,5332.331,6,015122.8874,0.0015
2,4,6,18375,5,4487.2,6,019726,6
1,5,6,47320#,2000#,-470#,6,050800#,2150#
6,1,7,49140#,1000#,940#,7,052750#,1080#
5,2,7,26073,8,4123.1,7,027991,8
4,3,7,14907.105,0.004,5606.440,7,016003.434,0.004
3,4,7,15769.00,0.07,5371.549,7,016928.71,0.08
2,5,7,27677,25,3559,7,029712,27
6,2,8,31609.68,0.09,3924.521,8,033934.39,0.10
5,3,8,20945.80,0.05,5159.712,8,022486.24,0.05
4,4,8,4941.67,0.04,7062.436,8,005305.10,0.04
3,5,8,22921.6,1.0,4717.16,8,024607.3,1.1
2,6,8,35064,18,3101.5,8,037643,20
7,2,9,40940,50,3349,9,043950,50
6,3,9,24954.91,0.19,5037.769,9,026790.19,0.20
5,4,9,11348.45,0.08,6462.669,9,012183.06,0.08
4,5,9,12416.5,0.9,6257.07,9,013329.6,1.0
3,6,9,28911.0,2.1,4337.42,9,031037.2,2.3
8,2,10,49200,90,2995,10,052820,100
7,3,10,33053,13,4531.4,10,035483,14
6,4,10,12607.49,0.08,6497.631,10,013534.69,0.09
5,5,10,12050.611,0.015,6475.083,10,012936.862,0.016
4,6,10,15698.67,0.07,6032.043,10,016853.22,0.08
3,7,10,38800,400,3640,10,041650,430
8,3,11,40728.3,0.6,4155.38,11,043723.6,0.7
7,4,11,20177.17,0.24,5952.540,11,021661.08,0.26
6,5,11,8667.708,0.012,6927.732,11,009305.167,0.013
5,6,11,10649.40,0.06,6676.456,11,011432.60,0.06
4,7,11,24366,5,5358.4,11,026158,5
3,8,11,47740,60,3162,11,051250,60
9,3,12,49010,30,3791.6,12,052610,30
8,4,12,25077.8,1.9,5720.72,12,026922.1,2.0
7,5,12,13369.4,1.3,6631.22,12,014352.6,1.4
6,6,12,0.0,0.0,7680.145,12,000000.0,0.0
5,7,12,17338.1,1.0,6170.11,12,018613.2,1.1
4,8,12,32013,12,4882.0,12,034368,13
10,3,13,56980,70,3508,13,061170,80
9,4,13,33659,10,5241.4,13,036135,11
8,5,13,16561.9,1.0,6496.42,13,017780.0,1.1
7,6,13,3125.00933,0.00023,7469.850,13,003354.83534,0.00025
6,7,13,5345.48,0.27,7238.863,13,005738.61,0.29
5,8,13,23115,10,5811.8,13,024815,10
4,9,13,42030#,500#,4300#,13,045120#,540#
10,4,14,39950,130,4994,14,042890,140
9,5,14,23664,21,6101.6,14,025404,23
8,6,14,3019.893,0.004,7520.320,14,003241.989,0.004
7,7,14,2863.41683,0.00022,7475.615,14,003074.00425,0.00024
6,8,14,8007.781,0.025,7052.278,14,008596.706,0.027
5,9,14,31960,40,5285.2,14,034320,40
11,4,15,49830,170,4541,15,053490,180
10,5,15,28957,21,5880.0,15,031087,23
9,6,15,9873.1,0.8,7100.17,15,010599.3,0.9
8,7,15,101.4381,0.0006,7699.460,15,000108.8983,0.0006
7,8,15,2855.6,0.5,7463.69,15,003065.6,0.5
6,9,15,16567,14,6497.5,15,017785,15
5,10,15,40220,70,4869,15,043170,70
