0,1,2
7288.97106,0.00001,0.0
13135.72290,0.00002,1112.283
14949.81090,0.00008,2827.265
14931.21888,0.00006,2572.680
28670#,2000#,-2270#
24620,100,1720
2424.91587,0.00015,7073.916
25320,210,1150
32890,90,1336
11231,20,5512
11680,50,5266
37140#,2000#,20#
41880,250,960
17592.10,0.05,4878.520
14086.8804,0.0014,5332.331
18375,5,4487.2
47320#,2000#,-470#
49140#,1000#,940#
26073,8,4123.1
14907.105,0.004,5606.440
15769.00,0.07,5371.549
27677,25,3559
31609.68,0.09,3924.521
20945.80,0.05,5159.712
4941.67,0.04,7062.436
22921.6,1.0,4717.16
35064,18,3101.5
40940,50,3349
24954.91,0.19,5037.769
11348.45,0.08,6462.669
12416.5,0.9,6257.07
28911.0,2.1,4337.42
49200,90,2995
33053,13,4531.4
12607.49,0.08,6497.631
12050.611,0.015,6475.083
15698.67,0.07,6032.043
38800,400,3640
40728.3,0.6,4155.38
20177.17,0.24,5952.540
8667.708,0.012,6927.732
10649.40,0.06,6676.456
24366,5,5358.4
47740,60,3162
49010,30,3791.6
25077.8,1.9,5720.72
13369.4,1.3,6631.22
0.0,0.0,7680.145
17338.1,1.0,6170.11
32013,12,4882.0
56980,70,3508
33659,10,5241.4
16561.9,1.0,6496.42
3125.00933,0.00023,7469.850
5345.48,0.27,7238.863
23115,10,5811.8
42030#,500#,4300#
39950,130,4994
23664,21,6101.6
3019.893,0.004,7520.320
2863.41683,0.00022,7475.615
8007.781,0.025,7052.278
31960,40,5285.2
49830,170,4541
28957,21,5880.0
9873.1,0.8,7100.17
101.4381,0.0006,7699.460
2855.6,0.5,7463.69
16567,14,6497.5
40220,70,4869
57450,170,4285
37112,25,5507.4
13694,4,6922.05
5683.9,2.3,7373.80
-4737.00217,0.00030,7976.207
10675,5,6964.0
23987,20,6083.2
43720,200,5270
21032,17,6558.0
7870,15,7286.2
-808.7642,0.0006,7750.729
1951.70,0.25,7542.328
16500.5,0.4,6640.499
34720,60,5523
51790,200,4977
24920,30,6426.1
13113,19,7038.6
-782.8163,0.0006,7767.098
873.1,0.5,7631.638
5317.6,0.4,7341.258
25040,90,6202
59770,530,4720
32410,100,6118
15856,16,6948.5
3332.9,2.6,7566.50
-1487.4451,0.0008,7779.019
1752.05,0.16,7567.343
12929,11,6937.9
31840,60,5901
69400,550,4406
37500,230,5961
21770,80,6709
3796.2,0.9,7568.57
-17.463,0.030,7720.135
-7041.9322,0.0015,8032.241
6850.5,1.1,7298.50
17477.7,1.9,6728.03
78380,560,4153
45640#,600#,5674#
25230,130,6609
8062,12,7389.4
-47.6,1.8,7738.29
-5731.78,0.04,7971.714
-2184.86,0.04,7765.558
10903.9,0.8,7105.03
27090#,600#,6297#
53610,230,5421
31760,210,6379
9280,60,7364.9
2793,12,7624.3
-8024.716,0.018,8080.466
-5181.39,0.13,7915.662
-399.99,0.16,7662.765
18200#,400#,6782#
33640#,500#,6044#
64170#,1000#,5080#
36720,420,6237
14620,120,7163
3290,30,7622.3
-5154.05,0.10,7955.256
-9529.8535,0.0018,8111.494
-5473.67,0.03,7901.123
6748.1,0.3,7335.728
23950#,500#,6554#
46940#,400#,5887#
18500,160,7040
7540,100,7464
-5951.6,0.5,7993.325
-8417.901,0.017,8063.488
-13933.578,0.013,8260.710
-48.81,0.23,7649.581
10745,19,7167.2
34020#,500#,6165#
55980#,500#,5613#
27330,170,6728
11330,100,7336
-2036,29,7839.8
-9357.8,1.2,8101.40
-13192.78,0.05,8223.503
-8915.97,0.06,8021.137
3827,10,7480.1
20190#,400#,6794#
34660,160,6497
18670,110,7082
481,18,7751.9
-6861,4,8004.20
-16214.544,0.029,8333.871
-12210.14,0.07,8149.765
-7141.00,0.11,7924.708
10970#,200#,7198#
27680#,600#,6525#
44670#,500#,6185#
25130,120,6880
7050,90,7520
-5518,4,7956.95
-14586.59,0.05,8263.853
-17196.86,0.05,8331.553
-12384.51,0.11,8124.342
-659,9,7661.1
17490#,400#,6960#
52080#,700#,5988#
33400,120,6627
11300,130,7388
-988,10,7799.3
-15019.95,0.26,8272.453
-16850.72,0.05,8309.897
-21492.7971,0.0005,8447.744
-7147.9,1.1,7907.48
4070,160,7479
28270#,500#,6587#
40150,530,6444
18400,150,7167
2680,7,7682.15
-10612.4,0.3,8113.532
-18207.8,0.3,8348.465
-21895.0815,0.0006,8448.636
-16952.8,0.4,8251.237
-3094,13,7746.4
14020#,190#,7129#
37970#,440#,6276#
48960#,500#,6205#
23280,250,7035
8475,5,7501.97
-8881.4,1.3,8054.43
-15864.1,1.9,8261.10
-24432.962,0.022,8520.655
-20200.86,0.07,8353.506
-14059.25,0.21,8122.708
4675,24,7472.2
22070#,180#,6866#
56840#,540#,6011#
31180,270,6813
12246,14,7398.7
-3122,3,7869.19
-14950.7,2.2,8225.52
-22949.04,0.04,8458.292
-24440.5444,0.0007,8481.168
-19042.53,0.23,8281.801
-7035,3,7869.21
11330#,200#,7252#
34260#,300#,6487#
37000#,500#,6671#
18640,40,7219.9
-829,3,7803.84
-11099,7,8100.34
-24077.69,0.30,8481.469
-24304.88,0.04,8464.120
-26015.5371,0.0013,8493.130
-13334.7,0.6,8072.406
-2200.4,1.8,7700.01
21990#,400#,6920#
46130#,600#,6436#
23780,450,7090
4962.9,2.7,7636.44
-8497,7,8020.62
-20514.3,0.7,8361.060
-26337.4,1.1,8513.81
-26585.8583,0.0013,8497.630
-21003.3,0.4,8304.756
-9384.3,0.4,7928.956
7540#,200#,7392#
31030#,400#,6657#
52840#,510#,6287#
31680,600,6886
8323,7,7550.39
-2997.6,2.1,7860.35
-19991.7,0.8,8337.166
-24548.7,0.8,8448.186
-29931.69,0.04,8583.499
-24440.09,0.05,8398.971
-18378.29,0.08,8197.672
-1220#,200#,7670#
14890#,300#,7173#
37830#,670#,6745#
15640,270,7356
-224,7,7787.12
-14390,40,8169.6
-24857.8,1.9,8446.25
-28846.21,0.04,8537.851
-29013.53,0.04,8520.279
-23047.3,0.7,8327.462
-11172.9,0.5,7965.841
5190#,200#,7476#
27100#,400#,6828#
45900#,690#,6557#
20380,690,7244
5950,150,7624
-12440,70,8112.5
-20251,13,8307.9
-30664.14,0.19,8575.390
-29522.01,0.04,8521.932
-30231.542,0.027,8519.910
-17417.2,0.3,8142.223
-6450,40,7815.9
16150#,300#,7166#
53130#,690#,6403#
28210,700,7055
9810,180,7531
-6570,110,7953
-19000,40,8267.6
-26896.43,0.20,8459.936
-31761.55,0.05,8570.282
-30947.68,0.21,8527.141
-24800.20,0.09,8339.848
-13136.1,0.6,8003.457
3780#,300#,7525#
25170#,400#,6926#
61910#,720#,6216#
34070#,500#,6928#
16470#,150#,7370#
-4170,100,7892.8
-14620,70,8147.3
-26861,7,8448.78
-29798.12,0.10,8505.482
-34714.83,0.19,8614.281
-28800.76,0.20,8438.059
-22058.50,0.19,8240.043
-4250#,200#,7751#
11370#,300#,7319#
69980#,740#,6056#
42780#,510#,6734#
21490#,300#,7260#
2320,140,7731
-12770,110,8098.0
-23160,50,8344.3
-29800.2,1.7,8494.40
-33242,5,8562.60
-33807.195,0.005,8557.026
-27282.7,0.6,8369.671
-14173,24,8013.5
2500#,200#,7566#
22570#,400#,7031#
49550#,500#,6598#
28820#,300#,7097#
5670,120,7656
-8140,80,7981.4
-22838,4,8329.33
-27560,30,8427.8
-35039.9000,0.0022,8595.259
-33535.50,0.06,8538.091
-34846.402,0.020,8551.305
-20523.4,2.8,8173.67
-8990,70,7865.9
12470#,300#,7310#
58100#,500#,6425#
34590#,400#,6980#
13200#,300#,7482#
-4980,120,7906.6
-19009,4,8229.64
-27310,70,8413.0
-33067.5,0.3,8534.373
-35559.549,0.004,8576.073
-35137.91,0.14,8546.708
-28642.36,0.08,8369.198
-15698,28,8034.4
310#,200#,7625#
20410#,400#,7116#
41990#,500#,6829#
16840#,300#,7410#
1090,100,7765.9
-17637.7,2.8,8193.23
-24830,60,8345.9
-34423,6,8555.61
-35022.03,0.11,8551.257
-38547.29,0.15,8616.565
-32121.00,0.15,8444.930
-25104.35,0.27,8259.240
-7620#,200#,7824#
7060#,300#,7456#
48270#,600#,6712#
24330#,400#,7251#
5040#,300#,7681#
-12195,5,8063.83
-24160,60,8323.9
-32010,5,8488.24
-36575.4,0.4,8576.220
-38408.87,0.23,8600.665
-36188.1,1.9,8530.83
-29316,6,8352.81
-17920,40,8069.5
-1970#,200#,7680#
17370#,400#,7213#
29310#,500#,7156#
11110#,400#,7552#
-9204,5,7996.02
-20480,90,8234.5
-32673.3,1.6,8493.84
-35781.5,0.4,8546.702
-41468.7,0.3,8658.177
-37816.0,1.8,8557.38
-37548.6,0.7,8533.522
-23808,7,8203.46
-13420,50,7949.6
7460#,300#,7457#
37090#,600#,7004#
15960#,500#,7456#
-3340#,300#,7867#
-18260,140,8182
-29770.8,0.5,8419.953
-36615.6,0.5,8554.675
-40812.2,0.4,8630.547
-41072.3,0.7,8618.941
-39010.3,0.8,8555.732
-31886.4,0.9,8380.039
-19510,40,8087.7
-4980#,300#,7747#
14410#,280#,7299#
22840#,500#,7320#
640#,400#,7785#
-13730,100,8080.8
-29771.3,2.3,8412.38
-35413.9,0.7,8518.043
-43139.6,2.2,8668.98
-41761.6,0.7,8622.021
-44128.27,0.09,8656.462
-37075.90,0.13,8486.142
-29472,11,8303.82
-12420,90,7916.1
1210#,300#,7603#
28810#,600#,7209#
7200#,400#,7652#
-9580#,200#,7992#
-25367.3,1.2,8311.425
-35712.0,1.4,8514.880
-42344.7,2.2,8639.35
-44336.8,1.9,8665.10
-44937.61,0.08,8661.233
-42007.07,0.11,8582.235
-34563,5,8407.21
-22570,30,8135.3
-7130#,500#,7790#
10620#,600#,7396#
12390#,500#,7552#
-4280#,500#,7883#
-22355,17,8243.7
-32284.5,0.8,8434.232
-44224.868,0.018,8666.692
-44504,5,8656.21
-48492.95,0.07,8723.012
-44478.0,1.0,8623.069
-42821,7,8572.26
-29297,7,8274.19
-18010,90,8022.7
1730#,500#,7595#
18180#,420#,7236#
20390#,580#,7400#
740#,400#,7785#
-17060#,400#,8132#
-29611.5,0.8,8372.275
-41300.00,0.18,8594.850
-46562.4,2.3,8686.28
-48564.01,0.08,8711.163
-47962.2,0.8,8682.913
-45332.4,2.2,8613.28
-37619.9,2.2,8439.92
-24751,24,8161.3
-9780#,500#,7840#
8530#,600#,7450#
7700#,400#,7651#
-13230#,500#,8054#
-25728,8,8288.58
-39589.2,1.6,8550.16
-44537.1,2.5,8633.47
-51431.87,0.08,8755.723
-49223.24,0.09,8695.903
-50261.36,0.09,8701.019
-42626.89,0.12,8532.682
-34476,8,8354.03
-17590,130,8000.6
-3460#,500#,7702#
14290#,700#,7530#
-6490#,400#,7922#
-22515,13,8221.33
-36332.3,0.5,8476.914
-43250.4,2.5,8597.22
-49733.0,0.5,8708.991
-52203.11,0.10,8742.085
-51450.71,0.17,8711.992
-48243.2,0.3,8633.760
-40189.2,1.4,8460.498
-27340,50,8193.3
