0,1,2
1,008664.9159,0.0005
1,007825.03190,0.00001
2,014101.77784,0.00002
3,016049.28132,0.00008
3,016029.32197,0.00006
3,030780#,2150#
4,026430,110
4,002603.25413,0.00016
4,027190,230
5,035310,100
5,012057,21
5,012540,50
5,039870#,2150#
6,044960,270
6,018885.89,0.06
6,015122.8874,0.0015
6,019726,6
6,050800#,2150#
7,052750#,1080#
7,027991,8
7,016003.434,0.004
7,016928.71,0.08
7,029712,27
8,033934.39,0.10
8,022486.24,0.05
8,005305.10,0.04
8,024607.3,1.1
8,037643,20
9,043950,50
9,026790.19,0.20
9,012183.06,0.08
9,013329.6,1.0
9,031037.2,2.3
10,052820,100
10,035483,14
10,013534.69,0.09
10,012936.862,0.016
10,016853.22,0.08
10,041650,430
11,043723.6,0.7
11,021661.08,0.26
11,009305.167,0.013
11,011432.60,0.06
11,026158,5
11,051250,60
12,052610,30
12,026922.1,2.0
12,014352.6,1.4
12,000000.0,0.0
12,018613.2,1.1
12,034368,13
13,061170,80
13,036135,11
13,017780.0,1.1
13,003354.83534,0.00025
13,005738.61,0.29
13,024815,10
13,045120#,540#
14,042890,140
14,025404,23
14,003241.989,0.004
14,003074.00425,0.00024
14,008596.706,0.027
14,034320,40
15,053490,180
15,031087,23
15,010599.3,0.9
15,000108.8983,0.0006
15,003065.6,0.5
15,017785,15
15,043170,70
16,061670,180
16,039841,26
16,014701,4
16,006101.9,2.5
15,994914.6193,0.0003
16,011460,6
16,025751,22
17,046930,220
17,022579,19
17,008449,16
16,999131.7560,0.0007
17,002095.24,0.27
17,017714.0,0.4
17,037270,60
18,055600,220
18,026750,30
18,014078,20
17,999159.6121,0.0007
18,000937.3,0.5
18,005708.7,0.4
18,026880,100
19,064170,560
19,034800,110
19,017022,18
19,003578.0,2.8
18,998403.1621,0.0009
19,001880.91,0.17
19,013880,11
19,034180,60
20,074510,590
20,040260,250
20,023370,80
20,004075.4,0.9
19,999981.25,0.03
19,992440.1753,0.0016
20,007354.3,1.2
20,018763.1,2.0
21,084150,600
21,049000#,640#
21,027090,140
21,008655,13
20,999948.9,1.9
20,993846.69,0.04
20,997654.46,0.05
21,011705.8,0.8
21,029080#,640#
22,057550,250
22,034100,220
22,009970,60
22,002999,13
21,991385.114,0.019
21,994437.55,0.14
21,999570.60,0.17
22,019540#,430#
22,036110#,540#
23,068890#,1070#
23,039420,450
23,015700,130
23,003530,40
22,994466.91,0.11
22,989769.2820,0.0019
22,994123.77,0.03
23,007244.4,0.4
23,025710#,540#
24,050390#,430#
24,019860,180
24,008100,100
23,993610.6,0.6
23,990963.012,0.018
23,985041.689,0.014
23,999947.60,0.24
24,011535,21
24,036520#,540#
25,060100#,540#
25,029340,180
25,012170,100
24,997810,30
24,989954.0,1.3
24,985836.97,0.05
24,990428.31,0.07
25,004109,11
25,021680#,430#
26,037210,180
26,020050,110
26,000516,20
25,992635,4
25,982592.97,0.03
25,986891.88,0.07
25,992333.82,0.12
26,011780#,210#
26,029720#,640#
27,047960#,540#
27,026980,130
27,007570,100
26,994076,4
26,984340.65,0.05
26,981538.41,0.05
26,986704.69,0.12
26,999292,10
27,018780#,430#
28,055910#,750#
28,035860,130
28,012130,140
27,998939,11
27,983875.43,0.28
27,981910.01,0.05
27,976926.5344,0.0006
27,992326.5,1.2
28,004370,170
28,030350#,540#
29,043100,560
29,019750,160
29,002877,8
28,988607.2,0.4
28,980453.2,0.4
28,976494.6643,0.0006
28,981800.4,0.4
28,996678,14
29,015050#,200#
29,040760#,470#
30,052560#,540#
30,024990,270
30,009098,5
29,990465.5,1.4
29,982969.2,2.1
29,973770.137,0.023
29,978313.49,0.07
29,984906.77,0.22
30,005018,26
30,023690#,190#
31,061020#,570#
31,033470,290
31,013147,15
30,996648,3
30,983949.8,2.4
30,975363.20,0.05
30,973761.9977,0.0008
30,979557.00,0.25
