EL,N,Z,A,BEA
H,1,1,2,1.1122831
H,2,1,3,2.8272654
H,3,1,4,1.7204491
H,4,1,5,1.3363592
H,5,1,6,0.9616395
He,1,2,3,2.57268044
He,2,2,4,7.0739156
He,3,2,5,5.5121325
He,4,2,6,4.8785199
He,5,2,7,4.1230578
He,6,2,8,3.924521
He,7,2,9,3.349038
He,8,2,10,2.995134
Li,1,3,4,1.1537603
Li,2,3,5,5.2661325
Li,3,3,6,5.3323312
Li,4,3,7,5.6064401
Li,5,3,8,5.1597124
Li,6,3,9,5.0377685
Li,7,3,10,4.5313512
Li,8,3,11,4.1553817
Li,9,3,12,3.7915999
Li,10,3,13,3.5076307
Be,2,4,6,4.4872478
Be,3,4,7,5.3715487
Be,4,4,8,7.0624356
Be,5,4,9,6.4626693
Be,6,4,10,6.4976306
Be,7,4,11,5.9525402
Be,8,4,12,5.7207223
Be,9,4,13,5.2414359
Be,10,4,14,4.9938973
Be,11,4,15,4.5409708
Be,12,4,16,4.2852851
B,2,5,7,3.5587055
B,3,5,8,4.7171551
B,4,5,9,6.2570713
B,5,5,10,6.4750835
B,6,5,11,6.9277323
B,7,5,12,6.6312237
B,8,5,13,6.4964194
B,9,5,14,6.1016451
B,10,5,15,5.8800438
B,11,5,16,5.5073535
B,12,5,17,5.2696677
B,13,5,18,4.9766306
B,14,5,19,4.7196346
B,15,5,20,4.4056529
B,16,5,21,4.1525265
C,2,6,8,3.1015242
C,3,6,9,4.3374233
C,4,6,10,6.0320426
C,5,6,11,6.6764563
C,6,6,12,7.6801446
C,7,6,13,7.4698495
C,8,6,14,7.5203198
C,9,6,15,7.1001696
C,10,6,16,6.9220546
C,11,6,17,6.5580262
C,12,6,18,6.4261321
C,13,6,19,6.118274
C,14,6,20,5.9614356
C,16,6,22,5.4210778
N,3,7,10,3.6436724
N,4,7,11,5.3584023
N,5,7,12,6.17011
N,6,7,13,7.2388634
N,7,7,14,7.4756148
N,8,7,15,7.6994603
N,9,7,16,7.3737971
N,10,7,17,7.2862294
N,11,7,18,7.0385627
N,12,7,19,6.9485452
N,13,7,20,6.7091717
N,14,7,21,6.6090159
N,15,7,22,6.3785347
N,16,7,23,6.2366721
O,3,8,11,3.1624372
O,4,8,12,4.8819755
O,5,8,13,5.8117636
O,6,8,14,7.0522783
O,7,8,15,7.4636915
O,8,8,16,7.9762072
O,9,8,17,7.7507291
O,10,8,18,7.7670981
O,11,8,19,7.5664952
O,12,8,20,7.5685707
O,13,8,21,7.3893747
O,14,8,22,7.3648722
O,15,8,23,7.1634856
O,16,8,24,7.0396855
O,17,8,25,6.7278058
O,18,8,26,6.497479
F,5,9,14,5.2852091
F,6,9,15,6.4974597
F,7,9,16,6.964049
F,8,9,17,7.5423284
F,9,9,18,7.6316383
F,10,9,19,7.7790192
F,11,9,20,7.7201351
F,12,9,21,7.7382934
F,13,9,22,7.6242954
F,14,9,23,7.6223447
F,15,9,24,7.4635831
F,16,9,25,7.3363065
F,17,9,26,7.0822497
F,18,9,27,6.8796662
F,19,9,28,6.6268567
F,20,9,29,6.4440314
Ne,5,10,15,4.8687285
Ne,6,10,16,6.0831777
Ne,7,10,17,6.6404991
Ne,8,10,18,7.3412577
Ne,9,10,19,7.5673431
Ne,10,10,20,8.0322412
Ne,11,10,21,7.9717136
Ne,12,10,22,8.0804656
Ne,13,10,23,7.9552561
Ne,14,10,24,7.9933252
Ne,15,10,25,7.8397994
Ne,16,10,26,7.751911
Ne,17,10,27,7.5204151
Ne,18,10,28,7.3883463
Ne,19,10,29,7.1670673
Ne,20,10,30,7.0345317
Ne,21,10,31,6.8130902
Na,6,11,17,5.5227653
Na,7,11,18,6.2022176
Na,8,11,19,6.9378864
Na,9,11,20,7.2985028
Na,10,11,21,7.7655581
Na,11,11,22,7.9156624
Na,12,11,23,8.1114936
Na,13,11,24,8.0634882
Na,14,11,25,8.1013979
Na,15,11,26,8.0042013
Na,16,11,27,7.9569467
Na,17,11,28,7.7992644
Na,18,11,29,7.6821522
Na,19,11,30,7.5019685
Na,20,11,31,7.3986778
Na,21,11,32,7.2198815
Na,22,11,33,7.0899262
Na,23,11,34,6.8864377
Mg,7,12,19,5.9014992
Mg,8,12,20,6.7280252
Mg,9,12,21,7.1050317
Mg,10,12,22,7.6627645
Mg,11,12,23,7.9011229
Mg,12,12,24,8.2607103
Mg,13,12,25,8.2235028
Mg,14,12,26,8.3338711
Mg,15,12,27,8.2638525
Mg,16,12,28,8.2724531
Mg,17,12,29,8.1135317
Mg,18,12,30,8.054425
Mg,19,12,31,7.8691886
Mg,20,12,32,7.8038411
Mg,21,12,33,7.6364382
Mg,22,12,34,7.5503919
Mg,23,12,35,7.3562338
Mg,24,12,36,7.2444202
Mg,25,12,37,7.0551115
Al,10,13,23,7.3357275
Al,11,13,24,7.6495806
Al,12,13,25,8.0211366
Al,13,13,26,8.1497653
Al,14,13,27,8.3315533
Al,15,13,28,8.3098969
Al,16,13,29,8.3484647
Al,17,13,30,8.2611049
Al,18,13,31,8.225518
Al,19,13,32,8.1003449
Al,20,13,33,8.0206172
Al,21,13,34,7.8603506
