SYMBOL,Z,N,A,EPorc,MAE,MSE,BEA
Be,4,2,6,1.62018237639501,0.072701598040773,0.005285522357682,4.4872478
Be,4,3,7,4.15292327490772,0.223076296185303,0.049763033919753,5.3715487
Be,4,4,8,3.41882999903838,0.241452666955566,0.058299390379956,7.0624356
Be,4,5,9,1.67496351204979,0.108247352679443,0.011717489362108,6.4626693
Be,4,6,10,0.598032468916317,0.038857940698242,0.001509939555308,6.4976306
Be,4,7,11,1.2628101881671,0.075169284100342,0.005650421272158,5.9525402
Be,4,8,12,2.96700954149014,0.169734376483154,0.028809758560125,5.7207223
Be,4,9,13,3.52369110559978,0.184692010614014,0.034111138784647,5.2414359
Be,4,10,14,5.28795296707439,0.264074940447998,0.069735574172614,4.9938973
Be,4,11,15,6.23378554370827,0.283074381274414,0.080131105333892,4.5409708
Be,4,12,16,8.86329317603724,0.379817381842041,0.144261243549343,4.2852851
B,5,2,7,4.56147617896758,0.162329503662109,0.026350867759187,3.5587055
B,5,3,8,3.14804018262834,0.148497938024902,0.022051637597648,4.7171551
B,5,4,9,0.068096104155798,0.004260821789551,1.81546023223089E-05,6.2570713
B,5,5,10,3.73480327497297,0.241831630615234,0.058482537566023,6.4750835
B,5,6,11,2.13806785326919,0.148119617266846,0.021939421019277,6.9277323
B,5,7,12,1.36212165665068,0.090325334118653,0.008158665983646,6.6312237
B,5,8,13,1.80495040089546,0.117257148004151,0.013749238758067,6.4964194
B,5,9,14,0.929791006689368,0.056732547399903,0.003218581934482,6.1016451
B,5,10,15,2.36414089620267,0.13901252019043,0.019324480769695,5.8800438
B,5,11,16,1.57629798054462,0.086812302001953,0.007536375778878,5.5073535
B,5,12,17,3.51395807689223,0.185173913769531,0.034289378340726,5.2696677
B,5,13,18,1.06853354951514,0.053176967596437,0.002827789882752,4.9766306
B,5,14,19,3.61457272897125,0.170594625158691,0.029102526133035,4.7196346
B,5,15,20,2.81480782961042,0.124010662774658,0.01537864448181,4.4056529
B,5,16,21,6.98679674933645,0.290128586517334,0.084174596714546,4.1525265
C,6,2,8,9.16415477001535,0.28422847791748,0.080785827659288,3.1015242
C,6,3,9,4.96977050860085,0.215559983996582,0.046466106700607,4.3374233
C,6,4,10,0.522582029848396,0.0315223706604,0.000993659852052,6.0320426
C,6,5,11,2.19634580669624,0.146638067980957,0.021502722981188,6.6764563
C,6,6,12,1.15836719331504,0.088964275445557,0.007914642305553,7.6801446
C,6,7,13,0.728223408751021,0.054397192657471,0.002959054569014,7.4698495
C,6,8,14,0.255038121580103,0.019179682354737,0.000367860215229,7.5203198
C,6,9,15,0.501326036584201,0.035594998846436,0.001267003942878,7.1001696
C,6,10,16,1.28821723507379,0.089171100378418,0.007951485142698,6.9220546
