SYMBOL,Z,N,A,EPorc,MAE,MSE
Be,4,2,6,37.60697688154874,1.2462007049305752,1.5530161969694627
Be,4,3,7,5.754179247293722,0.3044085375970047,0.09266455776194703
Be,4,4,8,0.04521695999773764,0.003082847154522561,9.503946578147852e-06
Be,4,5,9,2.3775481834404926,0.1525986041697749,0.02328633399456364
Be,4,6,10,0.6300523056120235,0.04095166295077757,0.0016770386984340882
Be,4,7,11,7.392661408934694,0.41493352248434867,0.1721698280812695
Be,4,8,12,11.15612638106417,0.591192597875775,0.34950868778310784
Be,4,9,13,24.020013980428867,1.0509244765374053,1.1044422553854194
Be,4,10,14,32.47641925515575,1.2889849519850611,1.6614822064439303
Be,4,11,15,54.493085297324676,1.701546092081876,2.8952591034791038
Be,4,12,16,71.5371714117802,1.945515558816873,3.78503078959853
B,5,2,7,277.72828446855607,2.7359260889570822,7.485291564235996
B,5,3,8,24.353358794838837,0.9528893739148128,0.9079981589197639
B,5,4,9,2.3555548176439873,0.14389876418533643,0.020706854334067062
B,5,5,10,4.613537491074609,0.2962211251302307,0.08774695497341979
B,5,6,11,1.895518412843801,0.13162902357877204,0.017326199848300926
B,5,7,12,3.604715299641374,0.23386262459678875,0.05469172718329854
B,5,8,13,2.835381954803513,0.18235259871315357,0.033252470257440415
B,5,9,14,6.925618540977431,0.39888078272681327,0.1591058788287552
B,5,10,15,9.517440702508633,0.5230766099445567,0.2736091398710899
B,5,11,16,16.661353782301912,0.7989481736851669,0.6383181842348636
B,5,12,17,22.12330887681065,0.9881745508323574,0.9764889429127313
B,5,13,18,32.308676800854684,1.228237111890734,1.5085664030256916
B,5,14,19,41.11944877762031,1.4249172022462142,2.0303890332571783
B,5,15,20,58.601186176278155,1.6736549338479243,2.8011208375935
B,5,16,21,75.23979483272944,1.907468891647639,3.6384375726034723
C,6,2,8,4504.5814266920015,3.3122225920275703,10.970818499137836
C,6,3,9,34.723302615237564,1.1734764016574109,1.377046865246825
C,6,4,10,1.7934654344922272,0.10572118332308378,0.011176968603233087
C,6,5,11,2.6297943703241895,0.17483553647551098,0.03056746481467973
C,6,6,12,1.7535191652003208,0.13081886793503905,0.017113576207805188
C,6,7,13,2.82869050323704,0.2069827502360626,0.042841858895284274
C,6,8,14,0.6151394928073508,0.045860370026868935,0.0021031735390013386
C,6,9,15,2.1297045555958776,0.14880166783945104,0.022141936351802317
C,6,10,16,2.4478329652375583,0.16752242482210988,0.028063762818279457
C,6,11,17,5.294598924615947,0.332013518117968,0.11023297621307025
C,6,12,18,7.667374991252123,0.4609757113345223,0.21249860644036883
C,6,13,19,11.666698241620846,0.6329235286118049,0.4005921930704182
C,6,14,20,15.651696972666427,0.8022597325973253,0.6436206785471319
C,6,16,22,26.45855676270238,1.126141242400334,1.268194097834968
N,7,3,10,104.18282451552052,1.9651515383966318,3.861820568862649
N,7,4,11,12.005334716000354,0.5672381121389201,0.32175907586292607
N,7,5,12,6.579715167542021,0.3887222122356979,0.15110495828541498
N,7,6,13,2.3938588594082746,0.16836065406755818,0.028345309838055995
N,7,7,14,4.215884137135212,0.30454229211199646,0.09274600768482859
N,7,8,15,1.4685117847101545,0.11154006001704353,0.012441184988605672
N,7,9,16,2.5376101348881837,0.18689609955069741,0.0349301520272642
N,7,10,17,1.3499236499072496,0.09969467190884096,0.009939027607011442
N,7,11,18,3.6806976929385997,0.256834442429418,0.06596393081803002
N,7,12,19,4.186386554894302,0.28595443438975643,0.08176993854716551
N,7,13,20,6.245286826278938,0.3970556107161203,0.15765315800115126
N,7,14,21,8.204793513046054,0.5031829536002768,0.2531930847938983
N,7,15,22,10.387403376911598,0.5865729993069024,0.34406788351589535
N,7,16,23,13.357753509837428,0.7200073065299337,0.5184105214564899
O,8,3,11,192.17643287888114,2.256339125218047,5.091066247989742
O,8,4,12,17.404409671595154,0.7204846987212203,0.5190982010914077
O,8,5,13,5.364641401488446,0.2992720119593484,0.08956373714219636
O,8,6,14,0.3595967716646796,0.02480271410259416,0.0006151746268550232
O,8,7,15,1.7345415052749966,0.1269933665249452,0.016127315141339072
O,8,8,16,0.5434504971175986,0.04271107556656695,0.0018242359760529921
O,8,9,17,0.7006628716938538,0.05472108685096888,0.0029943973461512793
O,8,10,18,1.020934072712872,0.08122303564737443,0.006597181519774658
O,8,11,19,0.1470450430333061,0.011295876916492809,0.00012759683531255508
O,8,12,20,0.08527020012933685,0.006502074697981364,4.227697537812944e-05
O,8,13,21,2.475195024023046,0.17941900577934966,0.032191179634850305
O,8,14,22,3.7283106505049908,0.2642366875374158,0.06982102704074591
O,8,15,23,6.976985010337083,0.4653667421517884,0.21656620470096913
O,8,16,24,8.749310197612713,0.5649038778190834,0.3191163911750379
O,8,17,25,10.51693736387443,0.6342621567860203,0.40228848353085417
O,8,18,26,13.060320910549365,0.7567696877266998,0.5727003602619668
F,9,5,14,14.512920757961806,0.6739327529827577,0.45418535554291867
F,9,6,15,5.19501388780822,0.32026887572375085,0.10257215275735536
F,9,7,16,3.428782637023657,0.23405864177988445,0.05478344779184427
F,9,8,17,0.4590759690329402,0.034636727330339845,0.001199702880156311
F,9,9,18,1.2283296588584836,0.0944431030343651,0.008919499710759702
F,9,10,19,0.29388485204854753,0.023449237112426857,0.000549866721154817
F,9,11,20,0.7132834952949353,0.05602927610545727,0.0031392797809015652
F,9,12,21,0.5366819713072879,0.0424477592357535,0.0018018122641364966
F,9,13,22,0.43739391906113545,0.033447214248941926,0.0011187161410146239
F,9,14,23,0.5084930947649645,0.038487981434175644,0.0014813247148774491
F,9,15,24,2.487740902249248,0.1800654296781934,0.03242355896519241
F,9,16,25,3.618506875688321,0.25643693161164904,0.06575989989439757
F,9,17,26,6.324102557658212,0.42536832394887103,0.18093821101907168
F,9,18,27,8.278177368493399,0.5410256167433012,0.29270871797246945
F,9,19,28,9.50779628018493,0.5863461425398429,0.3438017988713537
F,9,20,29,11.97701495852233,0.7135143299330426,0.5091026990197989
Ne,10,5,15,22.03533102975685,0.9091605291112623,0.8265728676938705
Ne,10,6,16,8.336429142369333,0.4806947840607556,0.23106747542321646
Ne,10,7,17,3.484882965645238,0.22965861147439526,0.052743077824347236
