SYMBOL,Z,N,A,EPorc,MAE,MSE
Be,4,2,6,26.151867674653552,1.1734991068898024,1.3771001538711638
Be,4,3,7,1.514130206279279,0.08133224141170192,0.006614933493051361
Be,4,4,8,3.4624813302380937,0.24453551411008867,0.05979761766108538
Be,4,5,9,0.6862683116143894,0.04435125149033148,0.0019670335087586303
Be,4,6,10,0.03222285755265092,0.002093722252535457,4.3836728707621485e-06
Be,4,7,11,5.707886498339088,0.3397642383840065,0.11543973768466399
Be,4,8,12,7.367220418872998,0.421458221392621,0.17762703237943156
Be,4,9,13,16.526625192981783,0.8662324659233915,0.7503586850197197
Be,4,10,14,20.523249677903134,1.0249100115370635,1.0504405317489036
Be,4,11,15,31.23719075241492,1.418471710807462,2.0120619943610483
Be,4,12,16,36.53661636129723,1.5656981769748324,2.4514107813823136
B,5,2,7,72.31833556597962,2.573596585294973,6.623399383841946
B,5,3,8,17.052469525327048,0.8043914358899107,0.6470455821330323
B,5,4,9,2.3678743436228222,0.148159585974887,0.02195126291624993
B,5,5,10,0.8399813610897301,0.05438949451499653,0.0029582171135968376
B,5,6,11,0.23803739772210786,0.01649059368807393,0.0002719396801851437
B,5,7,12,2.1645671594239237,0.14353729047813601,0.020602953757804795
B,5,8,13,1.002020446971187,0.06509545070900291,0.004237417703008227
B,5,9,14,5.6074751926642,0.34214823532691074,0.11706541493731909
B,5,10,15,6.53165355254883,0.3840640897541272,0.14750522503866628
B,5,11,16,12.930636678455699,0.7121358716832136,0.5071374997380105
B,5,12,17,15.238164582234026,0.8030006370628264,0.644810023123305
B,5,13,18,23.611560486211243,1.1750601442942976,1.3807663427089356
B,5,14,19,26.576688311580792,1.2543225770875228,1.5733251273914846
B,5,15,20,35.17399818476998,1.5496442710732659,2.4013973668701936
B,5,16,21,38.94834398119566,1.6173403051303046,2.6157896625989867
C,6,2,8,97.62922740084021,3.02799411411009,9.168748355085349
C,6,3,9,22.08491888861364,0.957916417660829,0.9176038632241559
C,6,4,10,2.2752417892984336,0.13724355398348376,0.01883579311001742
C,6,5,11,0.42234184165264205,0.028197468494553846,0.0007950972295013568
C,6,6,12,2.861705798880348,0.2197831433805959,0.04830463011425558
C,6,7,13,2.0426858342807512,0.1525855575785915,0.02328235238156966
C,6,8,14,0.8648575341384481,0.06504005238160548,0.004230208413801985
C,6,9,15,1.5944220401864015,0.11320666899301468,0.012815749904493991
C,6,10,16,1.1319085007461798,0.07835132444369197,0.0061389300420806835
C,6,11,17,4.379821052134684,0.2872298121121082,0.08250096496595696
C,6,12,18,6.44183607583684,0.41396089589873153,0.17136362333328045
C,6,13,19,11.33048088072757,0.693229865800526,0.48056764683781533
C,6,14,20,14.018957482105002,0.8357311220870711,0.698446508424915
C,6,16,22,21.487090282036743,1.1648318811454512,1.3568333113328506
N,7,3,10,48.23209435388801,1.7574195099145755,3.0885233338283866
N,7,4,11,11.82289961565388,0.6335185249318886,0.401345721431876
N,7,5,12,4.249873290079121,0.26222185685850086,0.06876030221432011
N,7,6,13,2.8435401410138144,0.2058399865321574,0.04237010005555874
N,7,7,14,3.369988762289556,0.25192737867205484,0.06346740412457291
N,7,8,15,1.3508940168718546,0.10401154852412375,0.01081840222638615
N,7,9,16,0.11870729744196261,0.008753235256263814,7.661912745149984e-05
N,7,10,17,1.3584363240785424,0.09897878682529004,0.00979680024140621
N,7,11,18,0.8622333257872941,0.06068883325583396,0.0036831344819544184
N,7,12,19,1.6977129971150073,0.11796635497081098,0.013916060905099382
N,7,13,20,5.238911226009925,0.35148754936358095,0.12354349735761576
N,7,14,21,7.205664200776331,0.4762234927299156,0.22678881502787998
N,7,15,22,11.469248969621619,0.7315700253567075,0.5351947020004136
N,7,16,23,13.572775323983514,0.8464894918265644,0.7165444597727952
O,8,3,11,62.87364301254522,1.9883394756239308,3.953493870324448
O,8,4,12,15.205073318236634,0.7423079541533495,0.5510210987993313
O,8,5,13,4.01188440578863,0.23316123756969986,0.05436416270503402
O,8,6,14,2.1965936628926035,0.15490989822735024,0.02399707656880801
O,8,7,15,1.9059513425421633,0.14225432834745533,0.02023629393358563
O,8,8,16,1.4664589470661344,0.11696780412093322,0.013681467200873001
O,8,9,17,0.7634553986588549,0.05917335974937288,0.0035014865040287023
O,8,10,18,2.4289517566903123,0.18865906574380986,0.03559224308732717
O,8,11,19,1.5254216430563798,0.11542095540162212,0.013321996945823242
O,8,12,20,0.7490129714597503,0.05668957629710203,0.003213708060744952
O,8,13,21,1.9039922260519548,0.14069311984184996,0.019794553970833153
O,8,14,22,3.7688203046327287,0.2775687988838511,0.07704443811382379
O,8,15,23,6.888534813996035,0.49345919945159267,0.2435019815234067
O,8,16,24,8.283497643994195,0.583132182537101,0.3400431423104828
O,8,17,25,10.359129419627822,0.6969421099232269,0.4857283045842393
O,8,18,26,10.820507750676756,0.7030602187935946,0.4942936712500971
F,9,5,14,12.138307394846528,0.6415349270184016,0.4115670625845059
F,9,6,15,5.117869503107637,0.33253150846300894,0.11057720412068418
F,9,7,16,1.9781470669964587,0.13775913103769621,0.018977578184261157
F,9,8,17,0.0338198832622955,0.00255080666013896,6.506614617409276e-06
F,9,9,18,0.7482545260403766,0.05710407899078085,0.003260875837385339
F,9,10,19,2.5714921145428304,0.20003686531677278,0.04001474748576069
F,9,11,20,1.7484813924445386,0.1349851256950796,0.018220984158916435
F,9,12,21,2.209807623794629,0.1710013975047966,0.029241477948593456
F,9,13,22,0.2968969385741722,0.02263629963045144,0.000512402060959576
F,9,14,23,0.6994874733383288,0.05331734635116803,0.0028427394219304107
F,9,15,24,3.0209730277074742,0.22547283235153337,0.05083799812862267
F,9,16,25,3.400761622084584,0.24949029593049676,0.06224540776348685
F,9,17,26,5.028126125534699,0.3561044474413029,0.12681037748747565
F,9,18,27,5.001721675908593,0.344101755555557,0.1184060181764163
F,9,19,28,6.939233520825433,0.45985306150346617,0.21146483817411063
F,9,20,29,7.552225714338472,0.48666779643084546,0.23684554408285483
Ne,10,5,15,15.256687426106888,0.7428066888707825,0.5517617770311755
Ne,10,6,16,5.210803163066511,0.31698241600655663,0.10047785205735373
Ne,10,7,17,0.7583868574338526,0.05036067244241327,0.0025361973288520433
Ne,10,8,18,1.2620525307877493,0.09265052859450051,0.008584120448840358
Ne,10,9,19,2.0437222514021043,0.1546554747746418,0.02391831587776987
